Scenario,Start,End,ShipName,CellsExpanded,PathCost,ActionAmount
1,189.78,80.11,BP_Ship_C_0,11923,298,233
2,189.78,80.11,BP_Ship_C_1,1268,111,70
2,81.68,100.42,BP_Ship_C_2,6725,194,115
5,189.78,80.11,BP_Ship_C_3,4716,164,141
5,81.68,100.42,BP_Ship_C_4,3828,187,120
5,43.25,156.59,BP_Ship_C_5,4160,195,152
5,133.93,116.87,BP_Ship_C_6,143,30,13
5,184.103,140.49,BP_Ship_C_7,2409,124,73
10,189.78,80.11,BP_Ship_C_8,1623,112,63
10,81.68,100.42,BP_Ship_C_9,7319,204,133
10,43.25,156.59,BP_Ship_C_10,1919,170,135
10,133.93,116.87,BP_Ship_C_11,9878,267,212
10,184.103,140.49,BP_Ship_C_12,2186,154,113
10,163.109,178.89,BP_Ship_C_13,6389,246,205
10,47.45,37.56,BP_Ship_C_14,581,60,27
10,102.111,138.115,BP_Ship_C_15,87,24,15
10,95.96,108.95,BP_Ship_C_16,8937,250,211
10,142.121,40.55,BP_Ship_C_17,1735,107,60
25,189.78,80.11,BP_Ship_C_18,11967,238,183
25,81.68,100.42,BP_Ship_C_19,2871,127,82
25,43.25,156.59,BP_Ship_C_20,2130,110,95
25,133.93,116.87,BP_Ship_C_21,16919,336,261
25,184.103,140.49,BP_Ship_C_22,3486,158,113
25,163.109,178.89,BP_Ship_C_23,5165,186,163
25,47.45,37.56,BP_Ship_C_24,3061,166,147
25,102.111,138.115,BP_Ship_C_25,18754,330,245
25,95.96,108.95,BP_Ship_C_26,1766,108,65
25,142.121,40.55,BP_Ship_C_27,2682,168,115
25,138.156,154.46,BP_Ship_C_28,1181,85,48
25,191.121,91.1,BP_Ship_C_29,10839,257,200
25,74.20,115.137,BP_Ship_C_30,9670,224,119
25,79.102,67.181,BP_Ship_C_31,5750,189,156
25,133.90,164.109,BP_Ship_C_32,945,74,35
25,140.128,151.114,BP_Ship_C_33,776,69,42
25,141.144,126.140,BP_Ship_C_34,4737,234,199
25,76.3,185.59,BP_Ship_C_35,3531,147,94
25,76.124,86.69,BP_Ship_C_36,4134,153,114
25,85.8,163.140,BP_Ship_C_37,13503,293,230
25,7.122,146.46,BP_Ship_C_38,5733,211,146
25,50.146,158.49,BP_Ship_C_39,8892,264,227
25,163.81,139.154,BP_Ship_C_40,6424,264,223
25,91.17,119.159,BP_Ship_C_41,2181,138,85
25,28.54,172.84,BP_Ship_C_42,8690,286,235
50,189.78,80.11,BP_Ship_C_43,605,60,45
50,81.68,100.42,BP_Ship_C_44,1481,97,64
50,43.25,156.59,BP_Ship_C_45,8088,223,194
50,133.93,116.87,BP_Ship_C_46,8315,241,172
50,184.103,140.49,BP_Ship_C_47,1690,115,86
50,163.109,178.89,BP_Ship_C_48,2946,147,124
50,47.45,37.56,BP_Ship_C_49,2768,163,94
50,102.111,138.115,BP_Ship_C_50,13014,265,192
50,95.96,108.95,BP_Ship_C_51,2764,128,97
50,142.121,40.55,BP_Ship_C_52,4643,166,135
50,138.156,154.46,BP_Ship_C_53,10071,270,241
50,191.121,91.1,BP_Ship_C_54,4101,147,100
50,74.20,115.137,BP_Ship_C_55,9756,269,188
50,79.102,67.181,BP_Ship_C_56,8610,269,220
50,133.90,164.109,BP_Ship_C_57,1138,91,54
50,140.128,151.114,BP_Ship_C_58,18009,335,254
50,141.144,126.140,BP_Ship_C_59,2191,152,121
50,76.3,185.59,BP_Ship_C_60,281,41,18
50,76.124,86.69,BP_Ship_C_61,6479,216,167
50,85.8,163.140,BP_Ship_C_62,5853,208,143
50,7.122,146.46,BP_Ship_C_63,4801,182,157
50,50.146,158.49,BP_Ship_C_64,7645,218,107
50,163.81,139.154,BP_Ship_C_65,6124,202,151
50,91.17,119.159,BP_Ship_C_66,14242,274,225
50,28.54,172.84,BP_Ship_C_67,2284,130,101
50,25.48,158.144,BP_Ship_C_68,12925,296,219
50,116.42,119.162,BP_Ship_C_69,321,53,40
50,110.190,5.90,BP_Ship_C_70,2179,206,191
50,9.64,33.64,BP_Ship_C_71,7311,228,187
50,145.48,109.150,BP_Ship_C_72,4512,211,184
50,138.128,4.80,BP_Ship_C_73,7961,240,221
50,88.85,31.130,BP_Ship_C_74,766,92,77
50,186.64,35.51,BP_Ship_C_75,561,65,40
50,113.42,67.83,BP_Ship_C_76,180,36,13
50,158.136,86.132,BP_Ship_C_77,343,45,16
50,87.53,15.67,BP_Ship_C_78,17503,302,223
50,6.109,190.84,BP_Ship_C_79,11184,283,226
50,12.77,32.74,BP_Ship_C_80,5166,239,206
50,92.53,141.112,BP_Ship_C_81,10164,240,201
50,126.181,121.84,BP_Ship_C_82,863,93,56
50,155.58,130.90,BP_Ship_C_83,8,6,3
50,152.170,151.171,BP_Ship_C_84,9050,224,185
50,94.42,165.78,BP_Ship_C_85,1439,93,62
50,121.158,65.164,BP_Ship_C_86,3502,138,91
50,104.184,117.169,BP_Ship_C_87,13532,312,251
50,85.99,97.103,BP_Ship_C_88,11154,301,210
50,55.36,188.93,BP_Ship_C_89,713,61,38
50,71.18,172.121,BP_Ship_C_90,3711,163,114
50,63.92,186.130,BP_Ship_C_91,451,51,38
50,180.111,83.32,BP_Ship_C_92,6933,244,215
100,189.78,80.11,BP_Ship_C_93,20118,327,284
100,81.68,100.42,BP_Ship_C_94,7437,233,176
100,43.25,156.59,BP_Ship_C_95,6984,217,144
100,133.93,116.87,BP_Ship_C_96,349,42,19
100,184.103,140.49,BP_Ship_C_97,534,60,53
100,163.109,178.89,BP_Ship_C_98,397,48,23
100,47.45,37.56,BP_Ship_C_99,8895,256,207
100,102.111,138.115,BP_Ship_C_100,915,77,48
100,95.96,108.95,BP_Ship_C_101,1707,104,75
100,142.121,40.55,BP_Ship_C_102,6709,223,138
100,138.156,154.46,BP_Ship_C_103,10446,296,217
100,191.121,91.1,BP_Ship_C_104,9810,236,169
100,74.20,115.137,BP_Ship_C_105,56,18,7
100,79.102,67.181,BP_Ship_C_106,1921,126,73
100,133.90,164.109,BP_Ship_C_107,2590,183,138
100,140.128,151.114,BP_Ship_C_108,9581,256,221
100,141.144,126.140,BP_Ship_C_109,11424,273,196
100,76.3,185.59,BP_Ship_C_110,2314,119,80
100,76.124,86.69,BP_Ship_C_111,17664,303,222
100,85.8,163.140,BP_Ship_C_112,5360,195,128
100,7.122,146.46,BP_Ship_C_113,1663,123,112
100,50.146,158.49,BP_Ship_C_114,1469,129,114
100,163.81,139.154,BP_Ship_C_115,15668,326,267
100,91.17,119.159,BP_Ship_C_116,6857,234,175
100,28.54,172.84,BP_Ship_C_117,2463,133,92
100,25.48,158.144,BP_Ship_C_118,3605,149,100
100,116.42,119.162,BP_Ship_C_119,598,58,43
100,110.190,5.90,BP_Ship_C_120,10982,284,241
100,9.64,33.64,BP_Ship_C_121,12002,274,191
100,145.48,109.150,BP_Ship_C_122,14626,316,213
100,138.128,4.80,BP_Ship_C_123,7766,255,186
100,88.85,31.130,BP_Ship_C_124,2115,165,138
100,186.64,35.51,BP_Ship_C_125,1734,130,99
100,113.42,67.83,BP_Ship_C_126,20686,332,301
100,158.136,86.132,BP_Ship_C_127,1004,81,50
100,87.53,15.67,BP_Ship_C_128,11769,296,245
100,6.109,190.84,BP_Ship_C_129,5473,200,179
100,12.77,32.74,BP_Ship_C_130,7639,221,154
100,92.53,141.112,BP_Ship_C_131,15953,281,238
100,126.181,121.84,BP_Ship_C_132,1998,120,93
100,155.58,130.90,BP_Ship_C_133,3201,166,151
100,152.170,151.171,BP_Ship_C_134,2031,96,67
100,94.42,165.78,BP_Ship_C_135,3356,148,113
100,121.158,65.164,BP_Ship_C_136,491,70,65
100,104.184,117.169,BP_Ship_C_137,1640,119,102
100,85.99,97.103,BP_Ship_C_138,12184,319,250
100,55.36,188.93,BP_Ship_C_139,9453,266,201
100,71.18,172.121,BP_Ship_C_140,1986,118,61
100,63.92,186.130,BP_Ship_C_141,2418,163,102
100,180.111,83.32,BP_Ship_C_142,11859,293,212
100,130.85,28.84,BP_Ship_C_143,17796,333,264
100,77.87,103.118,BP_Ship_C_144,4137,149,122
100,110.75,19.102,BP_Ship_C_145,132,33,12
100,190.80,14.70,BP_Ship_C_146,4047,156,105
100,31.155,154.99,BP_Ship_C_147,5606,190,113
100,34.53,146.73,BP_Ship_C_148,2400,125,88
100,163.52,47.29,BP_Ship_C_149,4509,200,177
100,133.48,65.11,BP_Ship_C_150,11440,307,238
100,91.110,125.156,BP_Ship_C_151,10813,295,252
100,179.56,104.150,BP_Ship_C_152,1879,107,68
100,138.123,120.174,BP_Ship_C_153,487,63,32
100,188.85,85.19,BP_Ship_C_154,1996,109,80
100,69.46,59.41,BP_Ship_C_155,552,60,27
100,155.168,156.164,BP_Ship_C_156,633,59,40
100,148.110,145.101,BP_Ship_C_157,1520,111,92
100,27.114,40.146,BP_Ship_C_158,3911,151,104
100,136.132,151.145,BP_Ship_C_159,2895,195,168
100,113.111,85.51,BP_Ship_C_160,7624,252,219
100,112.183,23.41,BP_Ship_C_161,8383,268,213
100,57.64,44.88,BP_Ship_C_162,3985,185,154
100,79.93,55.12,BP_Ship_C_163,12675,304,279
100,150.53,100.155,BP_Ship_C_164,4,3,2
100,64.165,42.51,BP_Ship_C_165,10007,278,219
100,63.29,184.68,BP_Ship_C_166,5212,253,220
100,169.64,60.55,BP_Ship_C_167,164,31,22
100,126.86,120.90,BP_Ship_C_168,7295,211,174
100,64.13,78.46,BP_Ship_C_169,2605,127,48
100,63.103,71.104,BP_Ship_C_170,178,36,25
100,73.11,180.135,BP_Ship_C_171,2907,133,94
100,87.146,20.155,BP_Ship_C_172,29,12,5
100,179.58,92.9,BP_Ship_C_173,2593,134,75
100,190.83,67.155,BP_Ship_C_174,1670,104,63
100,118.75,76.108,BP_Ship_C_175,1653,97,38
100,146.73,33.30,BP_Ship_C_176,5191,200,167
100,118.54,105.186,BP_Ship_C_177,6131,258,219
100,63.10,116.170,BP_Ship_C_178,527,77,56
100,178.107,155.92,BP_Ship_C_179,10333,308,257
100,61.100,64.89,BP_Ship_C_180,6161,187,140
100,143.64,140.88,BP_Ship_C_181,17312,329,232
100,109.183,85.40,BP_Ship_C_182,1563,120,87
100,161.30,17.109,BP_Ship_C_183,3,3,2
100,15.84,134.41,BP_Ship_C_184,3145,176,137
100,174.100,140.90,BP_Ship_C_185,4666,169,88
100,46.90,45.96,BP_Ship_C_186,13594,306,239
100,84.41,162.106,BP_Ship_C_187,27,12,5
100,28.40,147.167,BP_Ship_C_188,1850,115,82
100,23.125,26.154,BP_Ship_C_189,16830,317,268
100,81.148,132.140,BP_Ship_C_190,13586,317,252
100,66.35,177.53,BP_Ship_C_191,15137,308,271
100,143.57,46.24,BP_Ship_C_192,12403,287,202
